ID	NAME	TRANSLATED_NAME	VISIBLE	SORT_ORDER	BTN_COLOR	TEXT_COLOR	CATEGORY_ID
55	bags	\N	\N	\N	\N	\N	Clothes
67	balls	\N	\N	\N	\N	\N	AOB
51	bandanas	\N	\N	\N	\N	\N	Clothes
60	blankets	\N	\N	\N	\N	\N	Beddings
68	blenders	\N	\N	\N	\N	\N	Electronics
31	Bowls	\N	\N	\N	\N	\N	Kitchenware
65	buckets	\N	\N	\N	\N	\N	AOB
50	chopping board	\N	\N	\N	\N	\N	Kitchenware
69	Cookers	\N	\N	\N	\N	\N	AOB
29	Cups	\N	\N	\N	\N	\N	Kitchenware
42	Dishes	\N	\N	\N	\N	\N	Kitchenware
37	Dispensers	\N	\N	\N	\N	\N	Kitchenware
26	Dog Toys	\N	\N	\N	\N	\N	Toys
58	duvets	\N	\N	\N	\N	\N	Beddings
62	ear rings	\N	\N	\N	\N	\N	Jewellery
57	fruit	\N	\N	\N	\N	\N	Decos
32	Glasses	\N	\N	\N	\N	\N	Kitchenware
72	Guiness	\N	\N	\N	\N	\N	Beer
64	hair bands	\N	\N	\N	\N	\N	Jewellery
54	hats	\N	\N	\N	\N	\N	Clothes
49	holders	\N	\N	\N	\N	\N	Kitchenware
36	Hot Pots	\N	\N	\N	\N	\N	Kitchenware
39	Kettle	\N	\N	\N	\N	\N	Kitchenware
41	Knives	\N	\N	\N	\N	\N	Kitchenware
53	leso	\N	\N	\N	\N	\N	Clothes
59	mats	\N	\N	\N	\N	\N	Beddings
63	necklace	\N	\N	\N	\N	\N	Jewellery
61	net	\N	\N	\N	\N	\N	Beddings
70	No Group	\N	\N	\N	\N	\N	No Category
30	Pans	\N	\N	\N	\N	\N	Kitchenware
28	Plates	\N	\N	\N	\N	\N	Kitchenware
35	Pressure cookers	\N	\N	\N	\N	\N	Kitchenware
71	Red Wine	\N	\N	\N	\N	\N	Wines
56	room	\N	\N	\N	\N	\N	Decos
33	Spoons	\N	\N	\N	\N	\N	Kitchenware
27	Sufurias	\N	\N	\N	\N	\N	Kitchenware
34	Thermos	\N	\N	\N	\N	\N	Kitchenware
44	toothpicks	\N	\N	\N	\N	\N	Kitchenware
52	towels	\N	\N	\N	\N	\N	Clothes
38	Trays	\N	\N	\N	\N	\N	Kitchenware
73	Tusker	\N	\N	\N	\N	\N	Beer
66	umbrella	\N	\N	\N	\N	\N	AOB
43	Water Bottles	\N	\N	\N	\N	\N	Kitchenware
