ID,NAME,GROUP_ID,UNIT_NAME,TRANSLATED_NAME,BARCODE,BUY_PRICE,STOCK_AMOUNT,PRICE,DISCOUNT_RATE,DISABLE_WHEN_STOCK_AMOUNT_IS_ZERO,TAX_GROUP_ID,TAX_ID,Supplier,SupplierContact,SupplierAddress
215, Baking set,Bowls,,,,1000,5,1700,,,,2,,,
213, Bowl set,Bowls,,,,1200,3,1600,,,,2,,,
216, Cake set,Bowls,,,,1000,3,1500,,,,2,,,
131, dinner bowls,Bowls,,,,180,13,200,,,,2,,,
212, lids big,Sufurias,,,,100,15,150,,,,2,,,
211, lids small ,Sufurias,,,,60,11,100,,,,2,,,
307, men socks,bandanas,,,,30,12,50,,,,2,,,
619, scoop spoon,Spoons,,,,120,5,200,,,,2,,,
214, Soup set bowl,Bowls,,,,3500,1,4200,,,,2,,,
194,0.5l thermos,Thermos,,,,500,9,800,,,,2,,,
411,0rdinary kaulo plate,Plates,,,,34,148,50,,,,2,,,
172,11 litre Pcooker,Pressure cookers,,,,2800,4,3800,,,,2,,,
555,12 sufuria set,Sufurias,,,,3600,4,5100,,,,2,,,
517,218-10,Plates,,,,117,12,170,,,,2,,,
106,22010,Plates,,,,100,12,150,,,,2,,,
108,2217-10,Plates,,,,125,12,150,,,,2,,,
624,2236 plates,Plates,,,,67,6,100,,,,2,,,
111,2236-9,Plates,,,,67,27,100,,,,2,,,
115,2285-10,Plates,,,,125,5,180,,,,2,,,
102,2292-10,Plates,,,,108,42,150,,,,2,,,
105,2308-10,Plates,,,,125,18,150,,,,2,,,
103,2334-10,Plates,,,,116,72,150,,,,2,,,
449,26cm pan granite,Pans,,,,1500,2,1800,,,,2,,,
450,26cm pan white,Pans,,,,1300,2,1800,,,,2,,,
397,3 in one blender,blenders,,,,2800,6,3700,,,,2,,,
193,350l thermo,Thermos,,,,400,6,750,,,,2,,,
384,5l pressurecooker,Pressure cookers,,,,2200,4,3000,,,,2,,,
138,6506,Bowls,,,,80,10,120,,,,2,,,
137,6507,Bowls,,,,80,10,120,,,,2,,,
361,7 litres,Pressure cookers,,,,2500,4,3300,,,,2,,,
553,7 sufuria set,Sufurias,,,,7200,2,11900,,,,2,,,
544,83095 mellaplate,Plates,,,,75,24,125,,,,2,,,
171,9 litre,Pressure cookers,,,,2600,6,3500,,,,2,,,
120,acopal,Plates,,,,158,4,250,,,,2,,,
151,alladin set,Cups,,,,1000,2,1500,,,,2,,,
590,always thermo,Thermos,,,,1100,6,1400,,,,2,,,
153,arcopal glasses,Glasses,,,,600,1,900,,,,2,,,
95,assorted cups,Cups,,,,150,11,180,,,,2,,,
176,Axishotpot,Hot Pots,,,,1800,2,2500,,,,2,,,
366,bagged,umbrella,,,,150,10,200,,,,2,,,
579,balloon,Dog Toys,,,,3,40,10,,,,2,,,
274,bamboo,toothpicks,,,,150,11,200,,,,2,,,
362,bandana,bandanas,,,,30,11,50,,,,2,,,
437,barber machine,hair bands,,,,800,8,1400,,,,2,,,
639,basin stainless,Bowls,,,,550,2,900,,,,2,,,
310,bathroom,mats,,,,350,3,500,,,,2,,,
453,beautiful hot pot,Hot Pots,,,,3000,1,3500,,,,2,,,
478,beautiful thermo,Thermos,,,,700,4,1000,,,,2,,,
616,bellysufuria set,Sufurias,,,,3600,1,4500,,,,2,,,
316,belts,leso,,,,50,23,100,,,,2,,,
281,big,towels,,,,800,1,1000,,,,2,,,
332,big ball,balls,,,,200,22,300,,,,2,,,
269,Big Bottle,Water Bottles,,,,300,12,400,,,,2,,,
145,big bowl,Bowls,,,,200,21,300,,,,2,,,
121,big dinner ,Plates,,,,230,16,250,,,,2,,,
180,Big Dispenser,Dispensers,,,,4200,3,6000,,,,2,,,
166,big frying,Pans,,,,1000,1,2000,,,,2,,,
623,big kaulo bowls,Bowls,,,,350,3,550,,,,2,,,
396,big lid cup,Cups,,,,210,12,300,,,,2,,,
93,big mugs,Cups,,,,170,20,200,,,,2,,,
359,big salt,Dishes,,,,200,3,300,,,,2,,,
129,big saucer,Plates,,,,100,38,120,,,,2,,,
169,big ugali,Pans,,,,750,1,900,,,,2,,,
557,birika 6liters,Kettle,,,,1000,5,1300,,,,2,,,
558,birika 7liters,Kettle,,,,1100,5,1400,,,,2,,,
600,black,Cups,,,,117,6,167,,,,2,,,
448,black pan granite,Pans,,,,1000,2,1500,,,,2,,,
207,Black set,Sufurias,,,,4500,6,7500,,,,2,,,
621,bluewhite cupset,Cups,,,,550,1,900,,,,2,,,
147,bowls with lid,Bowls,,,,400,8,600,,,,2,,,
273,box,toothpicks,,,,300,4,400,,,,2,,,
91,brown bottom,Cups,,,,67,12,117,,,,2,,,
94,brown patterned,Cups,,,,142,12,184,,,,2,,,
622,browncup pattern,Cups,,,,50,12,100,,,,2,,,
426,bucket 10L,buckets,,,,100,10,130,,,,2,,,
416,Bucket 11,buckets,,,,110,5,130,,,,2,,,
415,Bucket 13,buckets,,,,130,5,180,,,,2,,,
427,bucket 15L,buckets,,,,130,5,150,,,,2,,,
414,Bucket 16,buckets,,,,130,15,180,,,,2,,,
428,bucket 20L,buckets,,,,150,10,200,,,,2,,,
425,bucket 5l,buckets,,,,70,5,100,,,,2,,,
417,Bucket 7,buckets,,,,70,5,100,,,,2,,,
324,buckets,Dispensers,,,,450,5,600,,,,2,,,
447,bull pan,Pans,,,,800,2,1300,,,,2,,,
242,Butcher Knife,Knives,,,,200,29,300,,,,2,,,
239,Butter Knives,Knives,,,,60,37,100,,,,2,,,
561,cake mould set,Cookers,,,,1600,1,2200,,,,2,,,
522,calabash,Plates,,,,380,5,500,,,,2,,,
88,capuccino,Cups,,,,100,12,150,,,,2,,,
143,cc3006,Bowls,,,,33,12,60,,,,2,,,
142,cc3007,Bowls,,,,41,28,80,,,,2,,,
642,Cellar Cask Red wine,Red Wine,,,,800,8,1400,,,,1,,,
380,chains,Dog Toys,,,,20,137,100,,,,2,,,
641,chair,Dog Toys,,,,480,24,580,,,,2,,,
277,chapati,chopping board,,,,130,22,200,,,,2,,,
640,chips basket,Trays,,,,1300,2,1600,,,,2,,,
444,chondo,bags,,,,700,11,900,,,,2,,,
264,Chopper,Knives,,,,500,7,700,,,,2,,,
327,clear,buckets,,,,160,20,200,,,,2,,,
423,clear serrated,buckets,,,,190,5,240,,,,2,,,
87,coffee cup,Cups,,,,125,12,167,,,,2,,,
196,Coffee thermos,Thermos,,,,400,2,700,,,,2,,,
146,coloured ,Bowls,,,,1200,1,1500,,,,2,,,
336,coloured balls,balls,,,,30,3,100,,,,2,,,
493,coloured saltshaker,Dishes,,,,100,6,150,,,,2,,,
205,Coloured set,Sufurias,,,,4000,4,5000,,,,2,,,
318,cosget,necklace,,,,30,60,50,,,,2,,,
286,country,hats,,,,170,11,500,,,,2,,,
585,covid bucket,buckets,,,,350,6,650,,,,2,,,
577,cup set,Dog Toys,,,,300,1,500,,,,2,,,
195,Cup thermos,Thermos,,,,650,1,1000,,,,2,,,
246,cutlery set_sunnex,Knives,,,,1000,1,1500,,,,2,,,
383,deco cup,Cups,,,,55,12,120,,,,2,,,
429,Dessini set,Sufurias,,,,6000,1,7500,,,,2,,,
591,dinner diva plate,Plates,,,,134,42,250,,,,2,,,
592,dinner redberry,Plates,,,,145,48,250,,,,2,,,
455,disco watch,Dog Toys,,,,25,6,50,,,,2,,,
394,disluck,Trays,,,,650,3,1000,,,,2,,,
86,diva,Cups,,,,142,57,200,,,,2,,,
117,diva plates,Plates,,,,141,40,183,,,,2,,,
109,DN,Plates,,,,91,12,117,,,,2,,,
340,Doctor doll,Dog Toys,,,,300,5,500,,,,2,,,
76,Dog Chuchu,Dog Toys,,,,150,4,200,,,,2,,,
311,door,mats,,,,350,6,500,,,,2,,,
174,Double hotpot,Hot Pots,,,,1800,1,2500,,,,2,,,
547,double rack,Trays,,,,650,16,900,,,,2,,,
638,double wall thermo,Thermos,,,,850,5,1300,,,,2,,,
543,doublecoluor mabati,Cups,,,,270,36,325,,,,2,,,
599,drawer mat,mats,,,,450,1,650,,,,2,,,
377,drawing board,Dog Toys,,,,100,5,250,,,,2,,,
309,duvet,duvets,,,,1400,10,2300,,,,2,,,
381,ear rings 7,Dog Toys,,,,5,75,20,,,,2,,,
436,egg spoon,Spoons,,,,50,10,100,,,,2,,,
523,electric mixer,blenders,,,,1100,4,1700,,,,2,,,
446,electric stainless,Kettle,,,,3600,5,4200,,,,2,,,
107,eurovision,Plates,,,,67,21,100,,,,2,,,
110,eurovision dinner pl,Plates,,,,91,10,117,,,,2,,,
560,ever fresh set,buckets,,,,250,10,400,,,,2,,,
187,Excd thermos,Thermos,,,,650,15,1000,,,,2,,,
304,face,towels,,,,16,100,30,,,,2,,,
400,feeding forks,Spoons,,,,8,62,20,,,,2,,,
235,Feeding heavy spoon,Spoons,,,,60,12,100,,,,2,,,
237,Feeding kzh,Spoons,,,,10,219,20,,,,2,,,
236,Feeding stainless,Spoons,,,,9,105,20,,,,2,,,
202,Fibre big plate,Plates,,,,200,2,300,,,,2,,,
201,Fibre medium plate,Plates,,,,180,4,250,,,,2,,,
200,Fibre small plate,Plates,,,,150,3,200,,,,2,,,
472,fibre tray,Trays,,,,130,10,200,,,,2,,,
197,Fish plate,Plates,,,,160,24,200,,,,2,,,
526,flowered chopping,chopping board,,,,400,3,500,,,,2,,,
141,flowered mella,Bowls,,,,33,22,60,,,,2,,,
473,food flask,Thermos,,,,1000,11,1500,,,,2,,,
541,freedom pan,Pans,,,,400,5,600,,,,2,,,
300,fruit deco,fruit,,,,30,2,50,,,,2,,,
535,fruit rack,Trays,,,,1200,3,1700,,,,2,,,
617,frying pan,Pans,,,,220,6,350,,,,2,,,
518,garic press,blenders,,,,400,5,600,,,,2,,,
85,gift pack,Cups,,,,100,30,125,,,,2,,,
568,gift wrapper,mats,,,,8,100,25,,,,2,,,
288,girls,hats,,,,60,17,150,,,,2,,,
99,glass,Cups,,,,100,6,150,,,,2,,,
352,glass 2,Bowls,,,,800,2,1300,,,,2,,,
461,glass bowl,Bowls,,,,300,1,700,,,,2,,,
611,glass bowlbig,Bowls,,,,400,1,750,,,,2,,,
612,glass bowlmedium,Bowls,,,,400,1,750,,,,2,,,
614,glass bowlopen,Bowls,,,,300,1,500,,,,2,,,
613,glass bowlrid,Bowls,,,,350,1,750,,,,2,,,
620,glass cups set,Cups,,,,400,1,900,,,,2,,,
610,glass deco plate,ear rings,,,,100,5,150,,,,2,,,
161,glass jugs,Glasses,,,,250,12,350,,,,2,,,
152,glass mug,Cups,,,,150,12,180,,,,2,,,
495,glass plate,Plates,,,,59,12,100,,,,2,,,
156,glass sets,Glasses,,,,1200,8,1700,,,,2,,,
467,glss jug 35,Glasses,,,,280,2,350,,,,2,,,
457,goggles,Dog Toys,,,,100,24,200,,,,2,,,
633,goodmorn thermo,Thermos,,,,600,2,1000,,,,2,,,
299,grapes,fruit,,,,300,2,500,,,,2,,,
588,grater simple,blenders,,,,30,24,50,,,,2,,,
162,grill ,Pans,,,,3000,6,4000,,,,2,,,
636,group jug,Glasses,,,,300,5,450,,,,2,,,
646,Guiness Can,Guiness,,,,180,10,220,,,,1,,,
295,hand bag,bags,,,,250,33,500,,,,2,,,
392,hand mixer,blenders,,,,350,6,600,,,,2,,,
609,happy home,Hot Pots,,,,2200,2,3200,,,,2,,,
460,heavy mella bowls,Bowls,,,,63,18,100,,,,2,,,
114,heavy mellla,Plates,,,,140,4,200,,,,2,,,
144,hf20028,Bowls,,,,100,10,130,,,,2,,,
631,high class thermo,Thermos,,,,600,2,900,,,,2,,,
262,Horns,Dishes,,,,50,7,150,,,,2,,,
452,hot pot insulated,Hot Pots,,,,1300,3,2500,,,,2,,,
451,hot pot stainless,Hot Pots,,,,2200,1,3200,,,,2,,,
402,hurra hoops,Dog Toys,,,,150,16,250,,,,2,,,
155,ice cream,Glasses,,,,100,6,130,,,,2,,,
515,indian keyholder,holders,,,,50,50,100,,,,2,,,
440,iron box,blenders,,,,900,5,1400,,,,2,,,
259,Jamjar Sugardish,Dishes,,,,250,4,400,,,,2,,,
182,Juice Dispenser,Dispensers,,,,4000,1,5500,,,,2,,,
408,jumping rope big,Dog Toys,,,,60,19,150,,,,2,,,
413,Jumping rope biggest,Dog Toys,,,,70,12,200,,,,2,,,
409,jumping rope small,Dog Toys,,,,40,10,100,,,,2,,,
244,Kaijin Knives ,Knives,,,,100,10,150,,,,2,,,
481,kamba,Dog Toys,,,,70,7,150,,,,2,,,
399,karai  signature,Pans,,,,1100,6,1600,,,,2,,,
225,kaulo Kettle,Kettle,,,,550,10,800,,,,2,,,
133,kaulu,Bowls,,,,90,5,120,,,,2,,,
475,keep fresh,buckets,,,,500,2,700,,,,2,,,
602,kenstar babyplate,Plates,,,,25,120,35,,,,2,,,
101,kenstar big,Plates,,,,45,33,53,,,,2,,,
430,kenstar cup set,Cups,,,,300,37,380,,,,2,,,
100,kenstar small,Plates,,,,30,120,55,,,,2,,,
607,kenstar smallcup,Cups,,,,275,22,350,,,,2,,,
637,kenster plain cup,Cups,,,,430,120,500,,,,2,,,
228,Kettle set,Kettle,,,,3500,1,4500,,,,2,,,
566,kettlecups set,Kettle,,,,1800,1,2500,,,,2,,,
445,key holder,Dog Toys,,,,60,35,100,,,,2,,,
519,kibiri,blenders,,,,1100,5,1600,,,,2,,,
536,kichungi 1,Spoons,,,,5,36,10,,,,2,,,
537,kichungi 2,Spoons,,,,7,36,15,,,,2,,,
538,kichungi 3,Spoons,,,,8,36,20,,,,2,,,
540,kichungi 4,Spoons,,,,20,36,40,,,,2,,,
412,kichungi small,Spoons,,,,80,12,100,,,,2,,,
378,kid bungle,Dog Toys,,,,10,12,20,,,,2,,,
407,kid clip,Dog Toys,,,,20,20,30,,,,2,,,
458,kid goggles,Dog Toys,,,,25,48,50,,,,2,,,
328,kids,umbrella,,,,100,9,150,,,,2,,,
459,kidude marvin,bandanas,,,,150,13,200,,,,2,,,
487,kidude small,bandanas,,,,100,12,150,,,,2,,,
431,kings net,net,,,,500,6,750,,,,2,,,
77,Kiruri Handle,Sufurias,,,,2700,10,3500,,,,2,,,
179,Kiruri No Handle,Sufurias,,,,2600,9,3200,,,,2,,,
303,kitchen,towels,,,,80,24,150,,,,2,,,
241,kitchen mediumknife,Knives,,,,100,15,150,,,,2,,,
578,kitchen set,Dog Toys,,,,200,1,500,,,,2,,,
240,kitchen small Knives,Knives,,,,80,17,120,,,,2,,,
243,Knives set,Knives,,,,2000,2,2500,,,,2,,,
605,knstar smallcup,Cups,,,,250,12,350,,,,2,,,
287,ladies,hats,,,,150,8,250,,,,2,,,
293,largest monkey,bags,,,,250,1,700,,,,2,,,
199,Leaf plate,Plates,,,,200,2,300,,,,2,,,
390,lemon sq,blenders,,,,180,6,300,,,,2,,,
596,lid cup small,Cups,,,,125,12,180,,,,2,,,
112,light mella,Plates,,,,50,23,80,,,,2,,,
160,light water,Glasses,,,,250,2,300,,,,2,,,
104,Line plate,Plates,,,,125,60,150,,,,2,,,
514,lion brandkettle,Kettle,,,,450,12,500,,,,2,,,
317,loops,ear rings,,,,15,24,50,,,,2,,,
