ID;TransactionNo;ItemName;CREATE_DATE;SETTLED;BuyingPrice;SellingPrice;Units;STATUS;TICKET_TYPE;SHIFT_ID;OWNER_ID;TERMINAL_ID;tax;SaleType;Customer;Discount
186;5;big ball;2020-04-03 07:20:08;Yes;200.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
187;6;kitchen small Knives;2020-04-03 07:26:02;Yes;80.00;120.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
189;8;proffesional;2020-04-03 07:35:15;Yes;250.00;350.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
190;9;big ball;2020-04-03 07:38:50;Yes;200.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
191;10;Line plate;2020-04-03 07:44:07;Yes;125.00;150.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
192;11;hand bag;2020-04-03 07:46:12;Yes;250.00;500.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
193;12;hand bag;2020-04-03 07:48:13;Yes;250.00;500.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
194;13;soft throw;2020-04-03 07:52:44;Yes;550.00;1000.00;2;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
195;14;tenniss;2020-04-03 08:06:47;Yes;30.00;50.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
196;15;Serviet holder uniq;2020-04-04 01:53:54;Yes;400.00;700.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
197;16;Skimmers ;2020-04-04 01:58:33;Yes;200.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
199;17;Tea_un 15litre;2020-04-04 04:18:16;Yes;6300.00;7500.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
202;19;kenstar small;2020-04-04 08:00:32;Yes;30.00;55.00;5;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
203;20;big ball;2020-04-04 08:30:48;Yes;200.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
204;21;medium ball;2020-04-05 03:35:06;Yes;100.00;200.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
205;22;Water gunsbig;2020-04-05 03:39:56;Yes;50.00;80.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
206;23;redberry medium;2020-04-05 05:21:52;Yes;600.00;700.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
207;23;sinia smallstainless;2020-04-05 05:21:53;Yes;120.00;200.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
208;24;tenniss;2020-04-05 05:50:10;Yes;30.00;50.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
209;24;salt shaker;2020-04-05 05:50:10;Yes;60.00;80.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
210;25;big ball;2020-04-05 05:52:20;Yes;200.00;300.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
211;26;big ball;2020-04-05 05:53:26;Yes;200.00;300.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
212;27;big ball;2020-04-05 05:53:44;Yes;200.00;300.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
213;27;medium ball;2020-04-05 05:53:44;Yes;100.00;200.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
214;28;Odinary smallthermos;2020-04-05 07:30:50;Yes;290.00;350.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
215;29;OK cup;2020-04-06 03:07:08;Yes;120.00;150.00;6;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
216;30;face;2020-04-06 03:08:48;Yes;16.00;30.00;2;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
217;31;bowls with lid;2020-04-06 04:41:34;Yes;400.00;600.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
218;32;Small Bottle;2020-04-06 05:23:49;Yes;180.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
219;33;Feeding stainless;2020-04-07 02:43:55;Yes;9.00;20.00;6;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
220;34;medium ball;2020-04-07 04:28:29;Yes;100.00;200.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
221;35;girls;2020-04-07 04:56:45;Yes;60.00;150.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
222;36;medium ball;2020-04-07 05:46:39;Yes;100.00;200.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
223;37;medium ball;2020-04-07 06:18:56;Yes;100.00;200.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
224;38;big ball;2020-04-07 08:19:33;Yes;200.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
225;39;Stainless Kettle;2020-04-08 00:07:16;No;1300.00;2000.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
226;40;medium ball;2020-04-08 01:48:49;No;100.00;200.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
227;41;7 litres;2020-04-08 03:25:26;Yes;2500.00;3300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
228;42;glass;2020-04-08 03:28:13;Yes;100.00;150.00;6;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
229;43;Trident hotpot;2020-04-08 04:23:47;Yes;2300.00;3000.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
230;44;kitchen mediumknife;2020-04-08 08:21:12;Yes;100.00;150.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
232;45;Serving spoon;2020-04-08 08:22:35;Yes;70.00;250.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
233;46;buckets;2020-04-08 08:23:33;No;450.00;600.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
234;47;Speed car;2020-04-09 01:00:13;Yes;350.00;450.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
235;48;Sunflower;2020-04-09 01:02:21;Yes;30.00;50.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
237;50;Shocky;2020-04-09 03:06:24;Yes;183.00;250.00;12;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
238;51;Butcher Knife;2020-04-09 03:48:35;Yes;200.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
239;52; lids small ;2020-04-09 06:16:02;Yes;60.00;100.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
240;53;big ball;2020-04-11 02:11:57;Yes;200.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
241;54;tenniss;2020-04-11 02:12:56;Yes;30.00;50.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
242;55;tenniss;2020-04-11 04:24:10;Yes;30.00;50.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
243;56;Spoon holder;2020-04-11 05:36:52;Yes;350.00;600.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
244;57;big ball;2020-04-14 07:32:52;Yes;200.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
245;57;medium ball;2020-04-14 07:32:52;Yes;100.00;200.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
246;58;net patterned;2020-04-15 02:55:04;Yes;180.00;200.00;2;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
247;59;11 litre Pcooker;2020-04-15 04:53:54;Yes;2800.00;3800.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
248;59;Stainless Kettle;2020-04-15 04:53:54;Yes;1300.00;2000.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
249;59;light water;2020-04-15 04:53:54;Yes;250.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
250;59;Serviet holder big;2020-04-15 04:53:54;Yes;350.00;500.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
251;60;Odinary smallthermos;2020-04-15 05:25:06;Yes;290.00;350.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
